Postcode,Council,Other Social,Total,Social Housing Count,Social Housing %
CF24 4XD,1,39,168,40,23.81%
CF24 4LB,6,14,90,20,22.22%
CF24 4LA,6,14,90,20,22.22%
CF24 4NU,1,6,78,7,8.97%
CF24 4NT,1,6,78,7,8.97%
CF24 4PH,4,8,136,12,8.82%
CF24 4PG,4,8,136,12,8.82%
CF24 4PF,4,8,136,12,8.82%
CF24 4PE,4,8,136,12,8.82%
CF24 4NE,1,4,58,5,8.62%
CF24 4LZ,1,8,130,9,6.92%
CF24 4LG,1,8,130,9,6.92%
CF24 4LE,1,8,130,9,6.92%
CF24 4NN,2,5,105,7,6.67%
CF24 4NL,2,5,105,7,6.67%
CF24 4ND,2,5,105,7,6.67%
CF24 4LX,2,5,105,7,6.67%
CF24 4PL,1,11,181,12,6.63%
CF24 4NS,1,11,181,12,6.63%
CF24 4NJ,1,11,181,12,6.63%
CF24 4NA,1,11,181,12,6.63%
CF24 4YE,1,3,69,4,5.80%
CF24 4NB,0,8,138,8,5.80%
CF24 4TY,3,4,122,7,5.74%
CF24 4XR,0,8,144,8,5.56%
CF24 4NQ,0,8,144,8,5.56%
CF24 4NP,0,8,144,8,5.56%
CF24 4NH,0,8,144,8,5.56%
CF24 4NG,0,8,144,8,5.56%
CF24 4NF,0,8,144,8,5.56%
CF24 4LF,0,5,148,5,3.38%
CF24 4JZ,0,5,148,5,3.38%
CF24 4JY,0,5,148,5,3.38%
CF24 4TS,2,2,119,4,3.36%
CF24 4LR,0,4,132,4,3.03%
CF24 4LQ,0,4,132,4,3.03%
CF24 4LN,0,4,132,4,3.03%
CF24 4LJ,0,4,132,4,3.03%
CF24 4LD,0,1,38,1,2.63%
CF24 4PN,0,4,153,4,2.61%
CF24 4PD,0,4,153,4,2.61%
CF24 4PB,0,4,153,4,2.61%
CF24 4PA,0,4,153,4,2.61%
CF24 4NY,0,4,153,4,2.61%
CF24 4NW,0,4,153,4,2.61%
CF24 4WX,2,1,134,3,2.24%
CF24 4YA,0,3,135,3,2.22%
CF24 4QD,0,3,135,3,2.22%
CF24 4QB,0,3,135,3,2.22%
CF24 4QA,0,3,135,3,2.22%
CF24 4PZ,0,3,135,3,2.22%
CF24 4PY,0,3,135,3,2.22%
CF24 4PX,1,3,180,4,2.22%
CF24 4PW,0,3,135,3,2.22%
CF24 4PP,0,3,135,3,2.22%
CF24 4PJ,1,3,180,4,2.22%
CF24 4TX,2,0,113,2,1.77%
CF24 4TP,2,0,113,2,1.77%
CF24 4NZ,1,2,172,3,1.74%
CF24 4NX,1,2,172,3,1.74%
CF24 4NR,1,2,172,3,1.74%
CF24 4TW,1,0,122,1,0.82%
CF24 4TT,1,0,122,1,0.82%
CF24 4TR,1,0,122,1,0.82%
CF24 4UB,1,0,137,1,0.73%
CF24 4UA,1,0,137,1,0.73%
CF24 4TZ,1,0,137,1,0.73%
CF24 4TU,1,0,137,1,0.73%
CF24 4TQ,0,0,100,0,0.00%
CF24 4LY,0,0,143,0,0.00%
CF24 4LW,0,0,143,0,0.00%
CF24 4LT,0,0,103,0,0.00%
CF24 4LS,0,0,103,0,0.00%
CF24 4LP,0,0,143,0,0.00%
CF24 4LL,0,0,143,0,0.00%
CF24 4LH,0,0,143,0,0.00%
CF24 4JX,0,0,143,0,0.00%
